,review,date
0,"It does what it says, I get my things done and I don't need to search for multiple sites which it makes my life easier. The application is very accurate and it works well unlike some applications where you get a lot of errors and ads. To be honest this application is beautiful, artistic and well designed, I loved the background of the menu. Assisting a lot of people whether they are citizens or foreigners, it gives me ideas for my future applications that I might make. 🙇🏻‍♂️","February 17, 2019"
1,"Please I have an account for this app, but it can't work now, i reset, infact any options they gave to me I did but till now I can't login","May 23, 2023"
2,"Very good app,I think all countries should follow Saudi Arabia's path for digitalizetion.","April 11, 2023"
3,"It does what it says, I get my things done and I don't need to search for multiple sites which it makes my life easier. The application is very accurate and it works well unlike some applications where you get a lot of errors and ads. To be honest this application is beautiful, artistic and well designed, I loved the background of the menu. Assisting a lot of people whether they are citizens or foreigners, it gives me ideas for my future applications that I might make. 🙇🏻‍♂️","February 17, 2019"
4,"Please I have an account for this app, but it can't work now, i reset, infact any options they gave to me I did but till now I can't login","May 23, 2023"
5,"Very good app,I think all countries should follow Saudi Arabia's path for digitalizetion.","April 11, 2023"
6,Excellent and require more detail to notify all the new coming from other countries.,"April 8, 2023"
7,"Nice apps,But slow open. Didn't show ID or licence card,","March 22, 2023"
8,Absolutely uselss. No option to activate digital ID... More painful is the thing that no help/support option is available in the app or on the website. It says to ask queries etc on Twitter but no one responds to the queries there,"February 19, 2023"
9,Worst experience. Very poor update. Not able to change mobile even after receiving link. Resolve the issue and serve us correct uodates,"March 8, 2023"
10,Why is there no option to acticvate digital card? Please? I want to print my iqama already translated in english.,"April 19, 2023"
11,May be you need finger print or eye contact to replace National I.D & Passport. What you are doing here is an old technology it is fading away Worldwide. Though U R better than most 3rd world countries. Good luck & God bless U. ***,"February 12, 2023"
12,"The absolute BEST app for enslaving and controlling my women, and their movements. Sure, there are other apps that do the same thing, but I have found none that allows its users the complete control and enslavement that this one does. Most of the other apps have inaccurate tracking, and even worse, have allowed some women to escape, which defeats the whole purpose, doesn't it? ""You have tried the rest; 'Absher' is the best!"" (At controlling and enslaving women) Oh, and it does gov. stuff, too.","March 4, 2019"
13,The only thing that irritates me is you always have to update it before you can log in. Other than that app is helpful.,"February 6, 2023"
14,"What a wonderful app that helps you to do your governmental requirements so easily. You can issue, renew, delegate and view your properties & your independents status and the validity of their documents & yours as well. Not to mention the great favors for old, young, women, labors and business people. You never know how much time & how many waiting queues were reduced so significantly by only one app under one umbrella.","February 17, 2019"
15,"Really usless application as I can't do anything I need, like renew exit re-entry visas, or renewal. It lacks lots of functions which makes it useless. If you need to do anything more effectively, you need to use Google to access absher, which in my opinion is another unsecured as its a public access site. You basically need to still go to the passport office to get anything done. You need appointment in order to go there to do anything. Another obstacle. Oh well.","February 6, 2022"
16,"The best government service app for all residents: Saudi and non Saudi, men and women. It made life easier and faster. By a click I can request a new passport or a driver license, or many other documents without the need to drive or travel. Using it, my wife can now manage her own business without any help from me or any other person. It helped women to be more independent. Thank you who developed Absher app and who manage it. Frankly, other countries should learn from this great service app.","February 18, 2019"
