Unnamed: 0,review,date,new_review,Polarity,Parts_of_speech,sentiment
0,"It does what it says, I get my things done and I don't need to search for multiple sites which it makes my life easier. The application is very accurate and it works well unlike some applications where you get a lot of errors and ads. To be honest this application is beautiful, artistic and well designed, I loved the background of the menu. Assisting a lot of people whether they are citizens or foreigners, it gives me ideas for my future applications that I might make. 🙇🏻‍♂️","February 17, 2019",It does what it says I get my things done and I dont need to search for multiple sites which it makes my life easier The application is very accurate and it works well unlike some applications where you get a lot of errors and ads To be honest this application is beautiful artistic and well designed I loved the background of the menu Assisting a lot of people whether they are citizens or foreigners it gives me ideas for my future applications that I might make ,0.4290476190476191,"[('It', 'PRP'), ('does', 'VBZ'), ('what', 'WP'), ('it', 'PRP'), ('says', 'VBZ'), ('I', 'PRP'), ('get', 'VBP'), ('my', 'PRP$'), ('things', 'NNS'), ('done', 'VBN'), ('and', 'CC'), ('I', 'PRP'), ('dont', 'VBP'), ('need', 'VBP'), ('to', 'TO'), ('search', 'VB'), ('for', 'IN'), ('multiple', 'NN'), ('sites', 'NNS'), ('which', 'WDT'), ('it', 'PRP'), ('makes', 'VBZ'), ('my', 'PRP$'), ('life', 'NN'), ('easier', 'IN'), ('The', 'DT'), ('application', 'NN'), ('is', 'VBZ'), ('very', 'RB'), ('accurate', 'JJ'), ('and', 'CC'), ('it', 'PRP'), ('works', 'VBZ'), ('well', 'RB'), ('unlike', 'IN'), ('some', 'DT'), ('applications', 'NNS'), ('where', 'WRB'), ('you', 'PRP'), ('get', 'VBP'), ('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('errors', 'NNS'), ('and', 'CC'), ('ads', 'NNS'), ('To', 'TO'), ('be', 'VB'), ('honest', 'JJS'), ('this', 'DT'), ('application', 'NN'), ('is', 'VBZ'), ('beautiful', 'JJ'), ('artistic', 'JJ'), ('and', 'CC'), ('well', 'RB'), ('designed', 'VBN'), ('I', 'PRP'), ('loved', 'VBD'), ('the', 'DT'), ('background', 'NN'), ('of', 'IN'), ('the', 'DT'), ('menu', 'NN'), ('Assisting', 'VBG'), ('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('people', 'NNS'), ('whether', 'IN'), ('they', 'PRP'), ('are', 'VBP'), ('citizens', 'NNS'), ('or', 'CC'), ('foreigners', 'NNS'), ('it', 'PRP'), ('gives', 'VBZ'), ('me', 'PRP'), ('ideas', 'NNS'), ('for', 'IN'), ('my', 'PRP$'), ('future', 'NN'), ('applications', 'NNS'), ('that', 'IN'), ('I', 'PRP'), ('might', 'MD'), ('make', 'VB')]",Positive
1,"Please I have an account for this app, but it can't work now, i reset, infact any options they gave to me I did but till now I can't login","May 23, 2023",Please I have an account for this app but it cant work now i reset infact any options they gave to me I did but till now I cant login,0.0,"[('Please', 'VB'), ('I', 'PRP'), ('have', 'VBP'), ('an', 'DT'), ('account', 'NN'), ('for', 'IN'), ('this', 'DT'), ('app', 'NN'), ('but', 'CC'), ('it', 'PRP'), ('cant', 'JJ'), ('work', 'NN'), ('now', 'RB'), ('i', 'JJ'), ('reset', 'VBP'), ('infact', 'JJ'), ('any', 'DT'), ('options', 'NNS'), ('they', 'PRP'), ('gave', 'VBD'), ('to', 'TO'), ('me', 'PRP'), ('I', 'PRP'), ('did', 'VBD'), ('but', 'CC'), ('till', 'VB'), ('now', 'RB'), ('I', 'PRP'), ('cant', 'VBP'), ('login', 'NN')]",Positive
2,"Very good app,I think all countries should follow Saudi Arabia's path for digitalizetion.","April 11, 2023",Very good appI think all countries should follow Saudi Arabias path for digitalizetion,0.9099999999999999,"[('Very', 'RB'), ('good', 'JJ'), ('appI', 'NN'), ('think', 'VBP'), ('all', 'DT'), ('countries', 'NNS'), ('should', 'MD'), ('follow', 'VB'), ('Saudi', 'NNP'), ('Arabias', 'NNP'), ('path', 'NN'), ('for', 'IN'), ('digitalizetion', 'NN')]",Positive
3,"It does what it says, I get my things done and I don't need to search for multiple sites which it makes my life easier. The application is very accurate and it works well unlike some applications where you get a lot of errors and ads. To be honest this application is beautiful, artistic and well designed, I loved the background of the menu. Assisting a lot of people whether they are citizens or foreigners, it gives me ideas for my future applications that I might make. 🙇🏻‍♂️","February 17, 2019",It does what it says I get my things done and I dont need to search for multiple sites which it makes my life easier The application is very accurate and it works well unlike some applications where you get a lot of errors and ads To be honest this application is beautiful artistic and well designed I loved the background of the menu Assisting a lot of people whether they are citizens or foreigners it gives me ideas for my future applications that I might make ,0.4290476190476191,"[('It', 'PRP'), ('does', 'VBZ'), ('what', 'WP'), ('it', 'PRP'), ('says', 'VBZ'), ('I', 'PRP'), ('get', 'VBP'), ('my', 'PRP$'), ('things', 'NNS'), ('done', 'VBN'), ('and', 'CC'), ('I', 'PRP'), ('dont', 'VBP'), ('need', 'VBP'), ('to', 'TO'), ('search', 'VB'), ('for', 'IN'), ('multiple', 'NN'), ('sites', 'NNS'), ('which', 'WDT'), ('it', 'PRP'), ('makes', 'VBZ'), ('my', 'PRP$'), ('life', 'NN'), ('easier', 'IN'), ('The', 'DT'), ('application', 'NN'), ('is', 'VBZ'), ('very', 'RB'), ('accurate', 'JJ'), ('and', 'CC'), ('it', 'PRP'), ('works', 'VBZ'), ('well', 'RB'), ('unlike', 'IN'), ('some', 'DT'), ('applications', 'NNS'), ('where', 'WRB'), ('you', 'PRP'), ('get', 'VBP'), ('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('errors', 'NNS'), ('and', 'CC'), ('ads', 'NNS'), ('To', 'TO'), ('be', 'VB'), ('honest', 'JJS'), ('this', 'DT'), ('application', 'NN'), ('is', 'VBZ'), ('beautiful', 'JJ'), ('artistic', 'JJ'), ('and', 'CC'), ('well', 'RB'), ('designed', 'VBN'), ('I', 'PRP'), ('loved', 'VBD'), ('the', 'DT'), ('background', 'NN'), ('of', 'IN'), ('the', 'DT'), ('menu', 'NN'), ('Assisting', 'VBG'), ('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('people', 'NNS'), ('whether', 'IN'), ('they', 'PRP'), ('are', 'VBP'), ('citizens', 'NNS'), ('or', 'CC'), ('foreigners', 'NNS'), ('it', 'PRP'), ('gives', 'VBZ'), ('me', 'PRP'), ('ideas', 'NNS'), ('for', 'IN'), ('my', 'PRP$'), ('future', 'NN'), ('applications', 'NNS'), ('that', 'IN'), ('I', 'PRP'), ('might', 'MD'), ('make', 'VB')]",Positive
4,"Please I have an account for this app, but it can't work now, i reset, infact any options they gave to me I did but till now I can't login","May 23, 2023",Please I have an account for this app but it cant work now i reset infact any options they gave to me I did but till now I cant login,0.0,"[('Please', 'VB'), ('I', 'PRP'), ('have', 'VBP'), ('an', 'DT'), ('account', 'NN'), ('for', 'IN'), ('this', 'DT'), ('app', 'NN'), ('but', 'CC'), ('it', 'PRP'), ('cant', 'JJ'), ('work', 'NN'), ('now', 'RB'), ('i', 'JJ'), ('reset', 'VBP'), ('infact', 'JJ'), ('any', 'DT'), ('options', 'NNS'), ('they', 'PRP'), ('gave', 'VBD'), ('to', 'TO'), ('me', 'PRP'), ('I', 'PRP'), ('did', 'VBD'), ('but', 'CC'), ('till', 'VB'), ('now', 'RB'), ('I', 'PRP'), ('cant', 'VBP'), ('login', 'NN')]",Positive
5,"Very good app,I think all countries should follow Saudi Arabia's path for digitalizetion.","April 11, 2023",Very good appI think all countries should follow Saudi Arabias path for digitalizetion,0.9099999999999999,"[('Very', 'RB'), ('good', 'JJ'), ('appI', 'NN'), ('think', 'VBP'), ('all', 'DT'), ('countries', 'NNS'), ('should', 'MD'), ('follow', 'VB'), ('Saudi', 'NNP'), ('Arabias', 'NNP'), ('path', 'NN'), ('for', 'IN'), ('digitalizetion', 'NN')]",Positive
6,Excellent and require more detail to notify all the new coming from other countries.,"April 8, 2023",Excellent and require more detail to notify all the new coming from other countries,0.37784090909090906,"[('Excellent', 'JJ'), ('and', 'CC'), ('require', 'VB'), ('more', 'JJR'), ('detail', 'NN'), ('to', 'TO'), ('notify', 'VB'), ('all', 'PDT'), ('the', 'DT'), ('new', 'JJ'), ('coming', 'VBG'), ('from', 'IN'), ('other', 'JJ'), ('countries', 'NNS')]",Positive
7,"Nice apps,But slow open. Didn't show ID or licence card,","March 22, 2023",Nice appsBut slow open Didnt show ID or licence card,0.09999999999999998,"[('Nice', 'NNP'), ('appsBut', 'RB'), ('slow', 'JJ'), ('open', 'JJ'), ('Didnt', 'NNP'), ('show', 'NN'), ('ID', 'NNP'), ('or', 'CC'), ('licence', 'NN'), ('card', 'NN')]",Positive
8,Absolutely uselss. No option to activate digital ID... More painful is the thing that no help/support option is available in the app or on the website. It says to ask queries etc on Twitter but no one responds to the queries there,"February 19, 2023",Absolutely uselss No option to activate digital ID More painful is the thing that no helpsupport option is available in the app or on the website It says to ask queries etc on Twitter but no one responds to the queries there,0.08,"[('Absolutely', 'RB'), ('uselss', 'JJ'), ('No', 'DT'), ('option', 'NN'), ('to', 'TO'), ('activate', 'VB'), ('digital', 'JJ'), ('ID', 'NNP'), ('More', 'NNP'), ('painful', 'JJ'), ('is', 'VBZ'), ('the', 'DT'), ('thing', 'NN'), ('that', 'IN'), ('no', 'DT'), ('helpsupport', 'NN'), ('option', 'NN'), ('is', 'VBZ'), ('available', 'JJ'), ('in', 'IN'), ('the', 'DT'), ('app', 'NN'), ('or', 'CC'), ('on', 'IN'), ('the', 'DT'), ('website', 'NN'), ('It', 'PRP'), ('says', 'VBZ'), ('to', 'TO'), ('ask', 'VB'), ('queries', 'NNS'), ('etc', 'VBP'), ('on', 'IN'), ('Twitter', 'NNP'), ('but', 'CC'), ('no', 'DT'), ('one', 'CD'), ('responds', 'VBZ'), ('to', 'TO'), ('the', 'DT'), ('queries', 'NNS'), ('there', 'EX')]",Positive
9,Worst experience. Very poor update. Not able to change mobile even after receiving link. Resolve the issue and serve us correct uodates,"March 8, 2023",Worst experience Very poor update Not able to change mobile even after receiving link Resolve the issue and serve us correct uodates,-0.59,"[('Worst', 'NNP'), ('experience', 'NN'), ('Very', 'NNP'), ('poor', 'JJ'), ('update', 'NN'), ('Not', 'RB'), ('able', 'JJ'), ('to', 'TO'), ('change', 'VB'), ('mobile', 'RB'), ('even', 'RB'), ('after', 'IN'), ('receiving', 'VBG'), ('link', 'NN'), ('Resolve', 'NNP'), ('the', 'DT'), ('issue', 'NN'), ('and', 'CC'), ('serve', 'VBP'), ('us', 'PRP'), ('correct', 'VBP'), ('uodates', 'NNS')]",Negative
